Area,Production_per_km2
Afghanistan,0
Albania,0
Algeria,0
American Samoa,0
Andorra,0
Angola,3.675623646426566e-4
Anguilla,0
Antigua and Barbuda,0
Argentina,0
Armenia,0
Aruba,0
"Ascension, Saint Helena and Tristan da Cunha",0
Australia,0
Austria,0
Azerbaijan,0
Bahamas,0
Bahrain,0
Bangladesh,0
Barbados,0
Belarus,0
Belgium,0
Belize,0.010145432378298354
Benin,0
Bermuda,0
Bhutan,0
Bolivia (Plurinational State of),0.005435362012780135
"Bonaire, Sint Eustatius and Saba",0
Bosnia and Herzegovina,0
Botswana,0
Brazil,0.034797930066906214
British Virgin Islands,0
Brunei Darussalam,0
Bulgaria,0
Burkina Faso,0
Burundi,0
Cabo Verde,0
Cambodia,0
Cameroon,0.6222012872286724
Canada,0
Cayman Islands,0
Central African Republic,2.161867154643809e-4
Chad,0
Channel Islands,0
Chile,0
China,0
"China, Hong Kong SAR",0
"China, Macao SAR",0
"China, mainland",0
"China, Taiwan Province of",0
Colombia,0.05245484667054935
Comoros,0.023170338527673293
Congo,0.029239766081871343
Cook Islands,0
Costa Rica,0.015655577299412915
Côte d'Ivoire,7.37282779259443
Croatia,0
Cuba,0.012627775755369493
Curaçao,0
Cyprus,0
Czechia,0
Democratic People's Republic of Korea,0
Democratic Republic of the Congo,0.014926264254582364
Denmark,0
Djibouti,0
Dominica,1.3333333333333333
Dominican Republic,0.448994636727757
Ecuador,1.4655347349533878
Egypt,0
El Salvador,0.017243346007604562
Equatorial Guinea,0.035650623885918005
Eritrea,0
Estonia,0
Eswatini,0
Ethiopia,0
Falkland Islands (Malvinas),0
Faroe Islands,0
Fiji,0.006458675424192666
Finland,0
France,0
French Guiana,0
French Polynesia,0
Gabon,3.8689431015803043e-4
Gambia,0
Georgia,0
Germany,0
Ghana,2.740432382126193
Gibraltar,0
Greece,0
Greenland,0
Grenada,1.0705882352941176
Guadeloupe,0
Guam,0
Guatemala,0.10701074478831848
Guinea,0.09421642398112746
Guinea-Bissau,0
Guyana,0.0022519421314602037
Haiti,0.09009009009009009
Holy See,0
Honduras,0.017779358165170237
Hungary,0
Iceland,0
India,0.009126141528202819
Indonesia,0.33477946347907156
Iran (Islamic Republic of),0
Iraq,0
Ireland,0
Isle of Man,0
Israel,0
Italy,0
Jamaica,0.013776160145586898
Japan,0
Jordan,0
Kazakhstan,0
Kenya,0
Kiribati,0
Kuwait,0
Kyrgyzstan,0
Lao People's Democratic Republic,0
Latvia,0
Lebanon,0
Lesotho,0
Liberia,0.17958157493041213
Libya,0
Liechtenstein,0
Lithuania,0
Luxembourg,0
Madagascar,0.03405443601597153
Malawi,0
Malaysia,8.141375438469058e-4
Maldives,0
Mali,0
Malta,0
Marshall Islands,0
Martinique,0
Mauritania,0
Mauritius,0
Mayotte,0
Mexico,0.01484135015953197
Micronesia (Federated States of),0.0446
Monaco,0
Mongolia,0
Montenegro,0
Montserrat,0
Morocco,0
Mozambique,0
Myanmar,0
Namibia,0
Nauru,0
Nepal,0
Netherlands (Kingdom of the),0
New Caledonia,0
New Zealand,0
Nicaragua,0.07146667178031756
Niger,0
Nigeria,0.3076871515637009
Niue,0
Norfolk Island,0
North Macedonia,0
Northern Mariana Islands,0
Norway,0
Oman,0
Pakistan,0
Palau,0
Palestine,0
Panama,0.007461497610196495
Papua New Guinea,0.09333679025149079
Paraguay,0
Peru,0.12971271123693173
Philippines,0.035863733333333335
Pitcairn,0
Poland,0
Portugal,0
Puerto Rico,0
Qatar,0
Republic of Korea,0
Republic of Moldova,0
Réunion,0
Romania,0
Russian Federation,0
Rwanda,0
Saint Barthélemy,0
Saint Kitts and Nevis,0
Saint Lucia,0.02903225806451613
Saint Martin (French part),0
Saint Pierre and Miquelon,0
Saint Vincent and the Grenadines,0.5875128205128205
Samoa,0.1696338028169014
San Marino,0
Sao Tome and Principe,4.166666666666667
Saudi Arabia,0
Senegal,0
Serbia,0
Seychelles,0
Sierra Leone,0.24896265560165975
Singapore,0
Sint Maarten (Dutch part),0
Slovakia,0
Slovenia,0
Solomon Islands,0.1384083044982699
Somalia,0
South Africa,0
South Sudan,0
Spain,0
Sri Lanka,0.02013107757963725
Sudan,0
Suriname,2.795751434501282e-5
Sweden,0
Switzerland,0
Syrian Arab Republic,0
Tajikistan,0
Thailand,2.3928358160460093e-4
Timor-Leste,0.011775386684599865
Togo,0.26413100898045433
Tokelau,0
Tonga,0
Trinidad and Tobago,0.05847953216374269
Tunisia,0
Türkiye,0
Turkmenistan,0
Turks and Caicos Islands,0
Tuvalu,0
Uganda,0.1448975367418754
Ukraine,0
United Arab Emirates,0
United Kingdom of Great Britain and Northern Ireland,0
United Republic of Tanzania,0.012667581547556213
United States of America,0
United States Virgin Islands,0
Uruguay,0
Uzbekistan,0
Vanuatu,0.12305168170631665
Venezuela (Bolivarian Republic of),0.032189934762348556
Viet Nam,0.0036423195373936684
Wallis and Futuna Islands,0
Western Sahara,0
Yemen,0
Zambia,0
Zimbabwe,0
